ticker,date,signal_sec,entry_price,exit_price,pnl_pct,aligned_return_pct,ai_direction,ai_rank,ai_rank_score,status,finalized,exit_reason,sector,market_cap_tier,catalysts,macro_catalysts,record_type,policy,split,trade_count,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,profit_factor,max_drawdown_pct,worst_trade_pct,top_ticker,top_ticker_share_pct,top_day,top_day_share_pct
EDU,2026-07-29,1785320160,56.85,58.5,2.9,2.9,bullish,8,55.8,open,false,session_end,Consumer Defensive,mid,085e1debc736f96ac4db7806,4adba3b05c703e37ac70048d|771cbabb1bef12f115a1b8c2|f9f147b53107bf5b523a8584|58d68b872a9eeb7fd1969a5d|64025c1388f33655e865dd5c|0a873fda1ee6252e8ac6097c,,,,,,,,,,,,,,,
MWYN,2026-07-29,1785322380,0.599,0.58,-3.17,-3.17,bullish,12,52.6,closed_today,true,price_trailing_stop,Consumer Cyclical,nano,,4adba3b05c703e37ac70048d|771cbabb1bef12f115a1b8c2|f9f147b53107bf5b523a8584|58d68b872a9eeb7fd1969a5d|64025c1388f33655e865dd5c|0a873fda1ee6252e8ac6097c,,,,,,,,,,,,,,,
AGRZ,2026-07-29,1785323100,0.48,0.526,9.58,9.58,bullish,2,55.5,closed_today,true,price_trailing_stop,Consumer Defensive,nano,,4adba3b05c703e37ac70048d|771cbabb1bef12f115a1b8c2|f9f147b53107bf5b523a8584|58d68b872a9eeb7fd1969a5d|64025c1388f33655e865dd5c|0a873fda1ee6252e8ac6097c,,,,,,,,,,,,,,,
LAD,2026-07-29,1785324600,416.15,426.93,2.59,2.59,bullish,3,56.7,open,false,session_end,Consumer Cyclical,mid,,4adba3b05c703e37ac70048d|771cbabb1bef12f115a1b8c2|f9f147b53107bf5b523a8584|58d68b872a9eeb7fd1969a5d|64025c1388f33655e865dd5c|0a873fda1ee6252e8ac6097c,,,,,,,,,,,,,,,
LVWR,2026-07-29,1785328020,2.36,2.3,-2.54,-2.54,bullish,8,54.4,closed_today,true,price_trailing_stop,Consumer Cyclical,public_top_gainers,,4adba3b05c703e37ac70048d|771cbabb1bef12f115a1b8c2|f9f147b53107bf5b523a8584|58d68b872a9eeb7fd1969a5d|64025c1388f33655e865dd5c|0a873fda1ee6252e8ac6097c,,,,,,,,,,,,,,,
MWYN,2026-07-29,1785329460,0.554,0.573,3.43,3.43,bullish,12,52.6,closed_today,true,price_trailing_stop,Consumer Cyclical,nano,,4adba3b05c703e37ac70048d|771cbabb1bef12f115a1b8c2|f9f147b53107bf5b523a8584|58d68b872a9eeb7fd1969a5d|64025c1388f33655e865dd5c|0a873fda1ee6252e8ac6097c,,,,,,,,,,,,,,,
GWAV,2026-07-29,1785330840,3.94,4.013,1.85,1.85,bullish,5,55.3,closed_today,true,price_trailing_stop,Industrials,nano,,4adba3b05c703e37ac70048d|771cbabb1bef12f115a1b8c2|f9f147b53107bf5b523a8584|58d68b872a9eeb7fd1969a5d|64025c1388f33655e865dd5c|0a873fda1ee6252e8ac6097c,,,,,,,,,,,,,,,
VRRM,2026-07-29,1785332220,5.125,5.1,-0.49,-0.49,watch,28,50.8,open,false,session_end,Technology,small,,4adba3b05c703e37ac70048d|771cbabb1bef12f115a1b8c2|f9f147b53107bf5b523a8584|58d68b872a9eeb7fd1969a5d|64025c1388f33655e865dd5c|0a873fda1ee6252e8ac6097c,,,,,,,,,,,,,,,
LVWR,2026-07-29,1785335880,2.4,2.44,1.67,1.67,bullish,8,54.4,closed_today,true,price_trailing_stop,Consumer Cyclical,public_top_gainers,,4adba3b05c703e37ac70048d|771cbabb1bef12f115a1b8c2|f9f147b53107bf5b523a8584|58d68b872a9eeb7fd1969a5d|64025c1388f33655e865dd5c|0a873fda1ee6252e8ac6097c,,,,,,,,,,,,,,,
BATL,2026-07-29,1785339240,1.495,1.48,-1,-1,watch,12,54.1,open,false,session_end,Energy,nano,,4adba3b05c703e37ac70048d|771cbabb1bef12f115a1b8c2|f9f147b53107bf5b523a8584|58d68b872a9eeb7fd1969a5d|64025c1388f33655e865dd5c|0a873fda1ee6252e8ac6097c,,,,,,,,,,,,,,,
SKYQ,2026-07-29,1785339360,4.29,4.37,1.86,1.86,watch,26,50,closed_today,true,price_trailing_stop,Energy,nano,,4adba3b05c703e37ac70048d|771cbabb1bef12f115a1b8c2|f9f147b53107bf5b523a8584|58d68b872a9eeb7fd1969a5d|64025c1388f33655e865dd5c|0a873fda1ee6252e8ac6097c,,,,,,,,,,,,,,,
